search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9416	Hs_Hippocampus_Epilepsy-CID	Brain	Hwang et al. (2017)	28965411	
9417	Hs_Hippocampus_Epilepsy-ETD	Brain	Hwang et al. (2017)	28965411	
9413	Hs_Hippocampus_AD-ETD	Brain	Hwang et al. (2017)	28965411	
9412	Hs_Hippocampus_AD-CID	Brain	Hwang et al. (2017)	28965411	
9415	Hs_Hippocampus_Control-ETD	Brain	Hwang et al. (2017)	28965411	
9414	Hs_Hippocampus_Control-CID	Brain	Hwang et al. (2017)	28965411	
9411	Hs_Loss-Less-nano-fractionator_U2OS	Cancer Cell Lines, Other Anatomical Entities	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9410	Hs_Loss-Less-nano-fractionator_SMC	Non Cancer Cell Lines	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9409	Hs_Loss-Less-nano-fractionator_RKO	Cancer Cell Lines, Digestive System	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9408	Hs_Loss-Less-nano-fractionator_LNCaP	Cancer Cell Lines, Other Male Reproductive Organ	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9407	Hs_Loss-Less-nano-fractionator_K562	Cancer Cell Lines, Blood	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9406	Hs_Loss-Less-nano-fractionator_Jurkat	Cancer Cell Lines, Blood	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9405	Hs_Loss-Less-nano-fractionator_HepG2	Cancer Cell Lines, Liver	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9404	Hs_Loss-Less-nano-fractionator_HEK293	Non Cancer Cell Lines	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9403	Hs_Loss-Less-nano-fractionator_GAMG	Cancer Cell Lines, Brain	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9402	Hs_Loss-Less-nano-fractionator_EC	Cancer Cell Lines, Other Anatomical Entities	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9401	Hs_Membranes_Placenta-PRM	Placenta			PXD010630
9400	Hs_Membranes_K562-PRM	Cancer Cell Lines, Blood			PXD010630
9399	Hs_Membranes_Hela-PRM	Cancer Cell Lines, Other Female Reproductive Organ			PXD010630
9398	Hs_Loss-Less-nano-fractionator_HeLa	Cancer Cell Lines, Other Female Reproductive Organ	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9397	Hs_PGRCCancerProteome-Phospho	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
9396	Hs_PGRCCancerProteome-N-glyco	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
9395	Hs_PGRCCancerProteome	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
