search_batch_id	sample_category	pubmed_id
9416	Brain	28965411
9417	Brain	28965411
9413	Brain	28965411
9412	Brain	28965411
9415	Brain	28965411
9414	Brain	28965411
9411	Cancer Cell Lines, Other Anatomical Entities	28126900
9410	Non Cancer Cell Lines	28126900
9409	Cancer Cell Lines, Digestive System	28126900
9408	Cancer Cell Lines, Other Male Reproductive Organ	28126900
9407	Cancer Cell Lines, Blood	28126900
9406	Cancer Cell Lines, Blood	28126900
9405	Cancer Cell Lines, Liver	28126900
9404	Non Cancer Cell Lines	28126900
9403	Cancer Cell Lines, Brain	28126900
9402	Cancer Cell Lines, Other Anatomical Entities	28126900
9401	Placenta	
9400	Cancer Cell Lines, Blood	
9399	Cancer Cell Lines, Other Female Reproductive Organ	
9398	Cancer Cell Lines, Other Female Reproductive Organ	28126900
9397	Cancer, Digestive System	26657352
9396	Cancer, Digestive System	26657352
9395	Cancer, Digestive System	26657352
9394	Cerebrospinal Fluid	30124047
9393	Cancer Cell Lines, Other Female Reproductive Organ	
9392	Other Anatomical Entities	23510160
9391	Cancer Cell Lines, Breast	29191878
9385	Cancer Cell Lines, Other Anatomical Entities	29191878
9384	Cancer Cell Lines, Other Anatomical Entities	29191878
9383	Cancer Cell Lines, Other Anatomical Entities	29191878
9382	Cancer Cell Lines, Other Anatomical Entities	29191878
9381	Cancer Cell Lines, Other Anatomical Entities	29191878
9380	Cancer Cell Lines, Other Anatomical Entities	29191878
9379	Cancer Cell Lines, Other Anatomical Entities	29191878
9390	Lung	29191878
9389	Cancer, Lung	29191878
9388	Cancer Cell Lines, Brain	29191878
9387	Cancer Cell Lines, Blood	29191878
9386	Cancer Cell Lines, Digestive System	29191878
9378	Heart	29133944
9377	Heart	29133944
9369	Heart	29133944
9373	Heart	29133944
9371	Heart	29133944
9370	Heart	29133944
9362	Heart	29133944
9374	Heart	29133944
9372	Heart	29133944
9366	Heart	29133944
9365	Heart	29133944
9364	Heart	29133944
9363	Heart	29133944
9361	Heart	29133944
9368	Heart	29133944
9376	Heart	29133944
9375	Heart	29133944
9360	Heart	29133944
9367	Heart	29133944
9359	Cancer Cell Lines, Blood	25850434
9358	Cancer, Other Anatomical Entities	27869121
9357	Cancer, Other Anatomical Entities	27869121
9356	Cancer, Other Anatomical Entities	27869121
9355	Cancer, Other Anatomical Entities	27869121
9354	Cancer, Other Anatomical Entities	27869121
9353	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9352	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9351	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9350	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9349	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9348	Cancer Cell Lines, Other Female Reproductive Organ	26388441
9347	Eye	28186866
9346	Liver	28767254
